threads,size,runtime,energy
16,500,0.047282223,2.105036
16,500,0.047078792,2.0758
16,500,0.047085017,2.140559
16,500,0.047308534,2.126825
16,500,0.047322873,2.099116
16,500,0.047276065,2.111506
16,500,0.047308713,2.137324
16,500,0.047084745,2.099421
16,500,0.04718232,2.103937
8,500,0.04733382,2.123408
8,500,0.06801493,2.447198
8,500,0.056056026,2.268732
8,500,0.055698544,2.279352
8,500,0.06732637,2.363886
8,500,0.059419107,2.349054
8,500,0.06166884,2.342462
8,500,0.06134971,2.320673
8,500,0.05555857,2.322748
8,500,0.06399894,2.379998
12.8,500,0.06732149,2.406244
12.8,500,0.05465825,2.20257
12.8,500,0.050105747,2.175227
12.8,500,0.0501485,2.147333
12.8,500,0.04989728,2.191889
12.8,500,0.050047763,2.148798
12.8,500,0.05001001,2.157343
12.8,500,0.0499309,2.154658
12.8,500,0.049934376,2.166803
12.8,500,0.05000342,2.187495
15.68,500,0.04995741,2.153437
15.68,500,0.04718741,2.086298
15.68,500,0.04729141,2.102412
15.68,500,0.04756973,2.133905
15.68,500,0.04710168,2.103999
15.68,500,0.04707595,2.112787
15.68,500,0.04720782,2.087458
15.68,500,0.047088355,2.105037
15.68,500,0.047067344,2.047297
15.68,500,0.0471412,2.081781
16,500,0.047202498,2.106318
16,500,0.04740495,2.105402
16,500,0.04743049,2.114435
16,500,0.047049362,2.122676
16,500,0.04719839,2.09643
16,500,0.047531657,2.129694
16,500,0.04741444,2.117854
16,500,0.046960056,2.093317
16,500,0.047156803,2.129938
16,500,0.047230594,2.092219
14.9632,500,0.04703225,2.088557
14.9632,500,0.04786937,2.162592
14.9632,500,0.047845326,2.116877
14.9632,500,0.04809736,2.121515
14.9632,500,0.048265833,2.161494
14.9632,500,0.04791993,2.106257
14.9632,500,0.047904722,2.123102
14.9632,500,0.048018254,2.159357
14.9632,500,0.048005726,2.103877
14.9632,500,0.048145294,2.14892
15.585279,500,0.047831926,2.098322
15.585279,500,0.047050703,2.102961
15.585279,500,0.04710154,2.121638
15.585279,500,0.047288418,2.130732
15.585279,500,0.04711852,2.093622
15.585279,500,0.047064584,2.105281
15.585279,500,0.047290154,2.124384
15.585279,500,0.04736376,2.130793
15.585279,500,0.04699787,2.11413
15.585279,500,0.047122136,2.114619
16,500,0.047244657,2.113398
16,500,0.04706378,2.074518
16,500,0.047081873,2.126643
16,500,0.047203854,2.103022
16,500,0.047070116,2.122248
16,500,0.047093764,2.098688
16,500,0.047130797,2.082209
16,500,0.047096867,2.082575
16,500,0.04712293,2.09228
16,500,0.047017567,2.13122
16,500,0.04708024,2.106013
16,500,0.047086727,2.110285
16,500,0.04755841,2.135188
16,500,0.04792128,2.162286
16,500,0.04710921,2.095454
16,500,0.04711199,2.131098
16,500,0.047148053,2.095393
16,500,0.047190797,2.097162
16,500,0.047141016,2.100153
16,500,0.047010753,2.092707
15.719078,500,0.047495525,2.163996
15.719078,500,0.047063775,2.079768
15.719078,500,0.04732087,2.077875
15.719078,500,0.0471415,2.095027
